"","x"
"1",0.00685731093785147
"2",0.0185286293670994
"3",0.0185286293670994
"4",0.00685731093785147
"5",0.0185286293670994
"6",0.0185286293670994
"7",0.00685731093785147
"8",0.00685731093785147
"9",0.0131017664306189
"10",0.0128963910103012
"11",0.0131017664306189
"12",0.0131017664306189
"13",0.00484886844406248
"14",0.00484886844406248
"15",0.00484886844406248
"16",0.0131017664306189
"17",0.0128963910103012
"18",0.0131017664306189
"19",0.0348463780290431
"20",0.0128963910103012
"21",0.00484886844406248
"22",0.0131017664306189
"23",0.00484886844406248
"24",0.0131017664306189
"25",0.0128963910103012
"26",0.00484886844406248
"27",0.0185286293670994
"28",0.00685731093785147
"29",0.00685731093785147
"30",0.00685731093785147
"31",0.00484886844406248
"32",0.0185286293670994
"33",0.00484886844406248
"34",0.00685731093785147
"35",0.00685731093785147
"36",0.00484886844406248
"37",0.00685731093785147
"38",0.00484886844406248
"39",0.00484886844406248
"40",0.00685731093785147
"41",0.00685731093785147
"42",0.0128963910103012
"43",0.00407706472285575
"44",0.00288293044580091
"45",0.00288293044580091
"46",0.00407706472285575
"47",0.0110163330553506
"48",0.00288293044580091
"49",0.00778975172709733
"50",0.00407706472285575
"51",0.00288293044580091
"52",0.00288293044580091
"53",0.00778975172709733
"54",0.00407706472285575
"55",0.00407706472285575
"56",0.0110163330553506
"57",0.00288293044580091
"58",0.00407706472285575
"59",0.00288293044580091
"60",0.00766764425833771
"61",0.00407706472285575
"62",0.00288293044580091
"63",0.00288293044580091
"64",0.0110163330553506
"65",0.00288293044580091
"66",0.00288293044580091
"67",0.0110163330553506
"68",0.00288293044580091
"69",0.00288293044580091
"70",0.00407706472285575
"71",0.00288293044580091
"72",0.00288293044580091
"73",0.00407706472285575
"74",0.00288293044580091
"75",0.00288293044580091
"76",0.00766764425833771
"77",0.00288293044580091
"78",0.00288293044580091
"79",0.00407706472285575
"80",0.00288293044580091
"81",0.00407706472285575
"82",0.00288293044580091
"83",0.00288293044580091
"84",0.00766764425833771
"85",0.00766764425833771
"86",0.00288293044580091
"87",0.0110163330553506
"88",0.00288293044580091
"89",0.0207181707041013
"90",0.00407706472285575
"91",0.00288293044580091
"92",0.00407706472285575
"93",0.00766764425833771
"94",0.00766764425833771
"95",0.00288293044580091
"96",0.00288293044580091
"97",0.00766764425833771
"98",0.00778975172709733
"99",0.00766764425833771
"100",0.0185286293670994
"101",0.00685731093785147
"102",0.0131017664306189
"103",0.0185286293670994
"104",0.00685731093785147
"105",0.00484886844406248
"106",0.0348463780290431
"107",0.0128963910103012
"108",0.00685731093785147
"109",0.0128963910103012
"110",0.0131017664306189
"111",0.0348463780290431
"112",0.00685731093785147
"113",0.0185286293670994
"114",0.00685731093785147
"115",0.0131017664306189
"116",0.00685731093785147
"117",0.0128963910103012
"118",0.0128963910103012
"119",0.00288293044580091
"120",0.00288293044580091
"121",0.00288293044580091
