"","Predictor","Estimate","StdError","PValue","FDR","logFDR"
"Sarcosine","Sarcosine",0.0883113021275667,0.0356949124987009,0.0133587815607925,0.137917309852225,0.860381222573078
"Serine","Serine",-0.0258206557673999,0.0100870478579371,0.0104737476214527,0.129208570869759,0.888708677068623
"Serotonin","Serotonin",-2.92983176456595,1.87895253922519,0.118927775155022,0.317760149242324,0.497900569209692
"Spermidine","Spermidine",-2.78475483983909,1.88403403504456,0.139386109029959,0.358421423219896,0.445606040002866
"Spermine","Spermine",-2.1518032394156,2.54510286033784,0.39784954495687,0.670268691503692,0.173751066186971
"Symmetric_dimethylarginine","Symmetric_dimethylarginine",1.01418632837476,3.26760262970592,0.756274834641142,0.901205552081082,0.0451761413703665
"Taurine","Taurine",-0.00774413524335334,0.00889140419693655,0.383771213525282,0.658055639713616,0.181737384503043
"Threonine","Threonine",-0.0148238130882033,0.00762546752638009,0.0518969658417331,0.199424295706435,0.700221933043056
"trans_4_Hydroxyproline","trans_4_Hydroxyproline",-0.00949705520857253,0.0192000997408863,0.620857281434479,0.813537127396903,0.0896226223759652
"Tryptophan","Tryptophan",-0.0108573940009343,0.0156986809184253,0.489181107976363,0.734812468478436,0.133823483088275
"Tyrosine","Tyrosine",0.0280116422161162,0.0140800720238455,0.0466512192348994,0.187702552686301,0.726529821091833
"Valine","Valine",0.00231711130899553,0.00445923140095193,0.603327597546521,0.807878366774817,0.0926540211745742
"AC_10_0_","AC_10_0_",3.24641117751344,1.78458494915933,0.06888996162617,0.235603668761502,0.62781795110705
"AC_10_1_","AC_10_1_",8.2149969692605,3.01876309263786,0.00650233107103995,0.104077951679039,0.982641263556811
"AC_10_2_","AC_10_2_",30.7384196227173,12.7788716384828,0.0161543512605978,0.137917309852225,0.860381222573078
"AC_10_3_","AC_10_3_",11.9121558539365,5.21630065393222,0.0223926627879116,0.137917309852225,0.860381222573078
"AC_11_0_","AC_11_0_",7.62601872314414,37.4567916344912,0.838669933332838,0.940410220327313,0.0266826596325557
"AC_12_0_","AC_12_0_",5.18338026370638,5.30655222977658,0.328673770577783,0.614485536888975,0.211488334621676
"AC_12_1_","AC_12_1_",7.00440586569944,3.31461341708352,0.0345845620689443,0.172767910951009,0.762536918055255
"AC_13_0_","AC_13_0_",0.808583022831751,9.09731759846993,0.929176104674752,0.97761444102721,0.00983239178635252
"AC_14_0_","AC_14_0_",6.11140913370673,15.6372555626068,0.695927600016285,0.859231910489421,0.0658896023473537
"AC_14_0_OH_","AC_14_0_OH_",-18.1723463714032,41.4969959883889,0.661444593325612,0.840144480444273,0.075646021480921
"AC_14_1_","AC_14_1_",2.03437412867452,2.65648400836241,0.443786650274505,0.694731538230773,0.158182985322139
"AC_14_1_DC_","AC_14_1_DC_",-3.11624695878563,6.00200689405654,0.603620700575486,0.807878366774817,0.0926540211745742
"AC_14_1_OH_","AC_14_1_OH_",26.8241188826101,12.8388320418874,0.0366810970858415,0.176689228216307,0.752789926264686
"AC_14_2_","AC_14_2_",4.30909128001725,4.85328435545441,0.374610051939434,0.657008398786085,0.182429078654622
"AC_14_2_OH_","AC_14_2_OH_",-41.5270041361203,58.4584394874019,0.477475968048671,0.725763471433979,0.139204894159545
"AC_16_0_","AC_16_0_",-2.63907845423244,5.46803908894704,0.629353441486452,0.818398771818884,0.0870350310464847
"AC_16_1_","AC_16_1_",-24.301734314333,10.6384737708015,0.0223524226951447,0.137917309852225,0.860381222573078
"AC_16_1_OH_","AC_16_1_OH_",460.349046280128,44371.8764265424,0.991722261101868,0.991981159572821,0.00349657620394851
"AC_16_2_","AC_16_2_",28.3721412523647,23.6105883561737,0.229491317780808,0.50964954987686,0.292728355021257
"AC_18_0_","AC_18_0_",-13.6343860680823,9.18579921529842,0.137732113213778,0.356851384235697,0.44751261426432
"AC_18_1_","AC_18_1_",-3.70235497564323,3.79135159007882,0.32880366447568,0.614485536888975,0.211488334621676
"AC_18_2_","AC_18_2_",-1.84896340962153,4.08366737658983,0.650714133254387,0.830388931242539,0.0807184484314618
"AC_4_0_DC_","AC_4_0_DC_",99.4121306479255,68.9891826129254,0.149589930628277,0.378271576669971,0.422196290372984
"AC_5_0_DC_","AC_5_0_DC_",-9.86078956917286,10.223654337343,0.334791634208745,0.618912102158869,0.208371025063805
"AC_5_0_OH_","AC_5_0_OH_",22.5313906676172,27.2075436694055,0.407596724633846,0.676689707887259,0.169610428868625
"AC_5_1_DC_","AC_5_1_DC_",-115.398862970784,102.331267211163,0.259447079671098,0.536313029983502,0.270581651515039
"AC_6_0_","AC_6_0_",20.8472465172205,8.89969131502559,0.0191566512679941,0.137917309852225,0.860381222573078
"AC_6_0_OH_","AC_6_0_OH_",-42.2543627426874,49.119910983953,0.389662924587657,0.663008558253626,0.178480865594721
"AC_8_0_","AC_8_0_",5.70722818057157,2.81292627406262,0.0424655048081417,0.183838008156765,0.735564694112774
"AC_8_1_","AC_8_1_",8.59302070667661,2.40736471724805,0.000357701584117338,0.0305834854420324,1.51451302180193
"AC_8_1_OH_","AC_8_1_OH_",16.2168351161954,8.10295617753132,0.0453549006490609,0.187104682158403,0.727915344460893
"AC_0_0_","AC_0_0_",0.0662916764020375,0.024162386073519,0.00607714207373517,0.103919129460871,0.983304500040527
"AC_2_0_","AC_2_0_",-0.0270921899371671,0.0450148103021689,0.547273599413976,0.784839798482852,0.105218982407862
